Symbol,GICS Sector
DECK,Consumer Discretionary
DHI,Consumer Discretionary
MCD,Consumer Discretionary
NCLH,Consumer Discretionary
CCL,Consumer Discretionary
CMG,Consumer Discretionary
YUM,Consumer Discretionary
WYNN,Consumer Discretionary
ABNB,Consumer Discretionary
ULTA,Consumer Discretionary
TSLA,Consumer Discretionary
TSCO,Consumer Discretionary
AMZN,Consumer Discretionary
TPR,Consumer Discretionary
TJX,Consumer Discretionary
APTV,Consumer Discretionary
NKE,Consumer Discretionary
AZO,Consumer Discretionary
BKNG,Consumer Discretionary
SBUX,Consumer Discretionary
ROST,Consumer Discretionary
RL,Consumer Discretionary
BWA,Consumer Discretionary
RCL,Consumer Discretionary
POOL,Consumer Discretionary
PHM,Consumer Discretionary
ORLY,Consumer Discretionary
NVR,Consumer Discretionary
BBY,Consumer Discretionary
DPZ,Consumer Discretionary
F,Consumer Discretionary
HD,Consumer Discretionary
GM,Consumer Discretionary
GRMN,Consumer Discretionary
EXPE,Consumer Discretionary
DRI,Consumer Discretionary
EBAY,Consumer Discretionary
GPC,Consumer Discretionary
HAS,Consumer Discretionary
HLT,Consumer Discretionary
LYV,Communication Services
TTWO,Communication Services
CHTR,Communication Services
OMC,Communication Services
GOOGL,Communication Services
PARA,Communication Services
GOOG,Communication Services
NWSA,Communication Services
WBD,Communication Services
NWS,Communication Services
FOX,Communication Services
VZ,Communication Services
EA,Communication Services
FOXA,Communication Services
MTCH,Communication Services
IPG,Communication Services
T,Communication Services
TMUS,Communication Services
NFLX,Communication Services
CMCSA,Communication Services
DIS,Communication Services
META,Communication Services
GWW,Industrials
OTIS,Industrials
ALLE,Industrials
CHRW,Industrials
CMI,Industrials
NDSN,Industrials
NSC,Industrials
URI,Industrials
UNP,Industrials
NOC,Industrials
ODFL,Industrials
UBER,Industrials
AME,Industrials
EXPD,Industrials
UPS,Industrials
PAYX,Industrials
BA,Industrials
ETN,Industrials
AXON,Industrials
FTV,Industrials
GD,Industrials
SNA,Industrials
TDG,Industrials
GE,Industrials
RTX,Industrials
RSG,Industrials
BLDR,Industrials
ROL,Industrials
ROK,Industrials
PAYC,Industrials
GEV,Industrials
EMR,Industrials
PWR,Industrials
CARR,Industrials
CAT,Industrials
GNRC,Industrials
AOS,Industrials
PNR,Industrials
PH,Industrials
TT,Industrials
AMTM,Industrials
VLTO,Industrials
UAL,Industrials
PCAR,Industrials
BR,Industrials
TXT,Industrials
SWK,Industrials
WAB,Industrials
DE,Industrials
HWM,Industrials
LMT,Industrials
ADP,Industrials
MAS,Industrials
HON,Industrials
DAY,Industrials
IEX,Industrials
FDX,Industrials
JCI,Industrials
WM,Industrials
CTAS,Industrials
HII,Industrials
EFX,Industrials
LUV,Industrials
JBHT,Industrials
J,Industrials
CPRT,Industrials
FAST,Industrials
VRSK,Industrials
XYL,Industrials
IR,Industrials
CSX,Industrials
DOV,Industrials
LDOS,Industrials
DAL,Industrials
MMM,Industrials
ITW,Industrials
LHX,Industrials
HUBB,Industrials
KR,Consumer Staples
KO,Consumer Staples
KMB,Consumer Staples
PM,Consumer Staples
WMT,Consumer Staples
COST,Consumer Staples
CAG,Consumer Staples
DG,Consumer Staples
GIS,Consumer Staples
KDP,Consumer Staples
K,Consumer Staples
ADM,Consumer Staples
TGT,Consumer Staples
DLTR,Consumer Staples
SJM,Consumer Staples
BG,Consumer Staples
TAP,Consumer Staples
BF-B,Consumer Staples
SYY,Consumer Staples
KHC,Consumer Staples
TSN,Consumer Staples
KVUE,Consumer Staples
PG,Consumer Staples
EL,Consumer Staples
MO,Consumer Staples
MNST,Consumer Staples
STZ,Consumer Staples
MKC,Consumer Staples
CLX,Consumer Staples
MDLZ,Consumer Staples
CPB,Consumer Staples
WBA,Consumer Staples
LW,Consumer Staples
HRL,Consumer Staples
CL,Consumer Staples
HSY,Consumer Staples
PEP,Consumer Staples
CHD,Consumer Staples
HES,Energy
SLB,Energy
XOM,Energy
EQT,Energy
BKR,Energy
HAL,Energy
MPC,Energy
KMI,Energy
TRGP,Energy
OXY,Energy
VLO,Energy
COP,Energy
OKE,Energy
FANG,Energy
EOG,Energy
CVX,Energy
DVN,Energy
TPL,Energy
WMB,Energy
PSX,Energy
CTRA,Energy
APA,Energy
EVRG,Utilities
FE,Utilities
ATO,Utilities
ETR,Utilities
VST,Utilities
AWK,Utilities
AES,Utilities
WEC,Utilities
EXC,Utilities
AEP,Utilities
AEE,Utilities
XEL,Utilities
DTE,Utilities
NRG,Utilities
NI,Utilities
LNT,Utilities
D,Utilities
EIX,Utilities
CNP,Utilities
CMS,Utilities
NEE,Utilities
DUK,Utilities
PCG,Utilities
PEG,Utilities
ED,Utilities
PNW,Utilities
PPL,Utilities
CEG,Utilities
SRE,Utilities
ES,Utilities
SO,Utilities
EQR,Real Estate
EXR,Real Estate
KIM,Real Estate
VICI,Real Estate
SPG,Real Estate
EQIX,Real Estate
INVH,Real Estate
CPT,Real Estate
WELL,Real Estate
ESS,Real Estate
CSGP,Real Estate
VTR,Real Estate
HST,Real Estate
UDR,Real Estate
O,Real Estate
MAA,Real Estate
AMT,Real Estate
IRM,Real Estate
REG,Real Estate
BXP,Real Estate
PSA,Real Estate
FRT,Real Estate
DOC,Real Estate
CBRE,Real Estate
CCI,Real Estate
ARE,Real Estate
WY,Real Estate
SBAC,Real Estate
DLR,Real Estate
AVB,Real Estate
PLD,Real Estate
DOW,Materials
FCX,Materials
LIN,Materials
DD,Materials
IP,Materials
LYB,Materials
IFF,Materials
BALL,Materials
CTVA,Materials
STLD,Materials
SHW,Materials
AVY,Materials
APD,Materials
PPG,Materials
FMC,Materials
CE,Materials
CF,Materials
EMN,Materials
NUE,Materials
SW,Materials
NEM,Materials
AMCR,Materials
VMC,Materials
MOS,Materials
ALB,Materials
MLM,Materials
ECL,Materials
PKG,Materials
